time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-03-06 09:30:00-05:00,MLTRADER,43da47e0d535480e99298515757acf17,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTRADER,43da47e0d535480e99298515757acf17,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,171.0,0.0
2020-03-07 09:30:00-05:00,MLTRADER,1212b88fd93840189e151dd4a1cab26f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-07 09:30:00-05:00,MLTRADER,5afe01ea41dc49e391196b5e376f2457,SPY,buy,stop,fill,1,day,0.0,1,stock,293.1499938964844,171.0,0.0
2020-03-09 09:30:00-04:00,MLTRADER,9eb8480d1fe5495b9b45035eb239dc88,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTRADER,9eb8480d1fe5495b9b45035eb239dc88,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,176.0,0.0
2020-03-10 09:30:00-04:00,MLTRADER,92c4fcb854314800adb21e292ddc7a52,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,MLTRADER,34706d381f034e26bf3b878499481afd,SPY,buy,stop,fill,1,day,0.0,1,stock,280.70001220703125,176.0,0.0
2020-04-13 09:30:00-04:00,MLTRADER,b0cb84f68836452eb089ce4d4f76391f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTRADER,b0cb84f68836452eb089ce4d4f76391f,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,179.0,0.0
2020-04-14 09:30:00-04:00,MLTRADER,aaec3182fc8e4a4986703bb2fc5d6913,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-14 09:30:00-04:00,MLTRADER,2c708f99b7f34e879dc9d4d1c5b8d1f0,SPY,buy,stop,fill,1,day,0.0,1,stock,277.57000732421875,179.0,0.0
2020-04-27 09:30:00-04:00,MLTRADER,30050d60488b47638c75c9f9de2c3e0c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTRADER,30050d60488b47638c75c9f9de2c3e0c,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,174.0,0.0
2020-04-30 09:30:00-04:00,MLTRADER,52a024e5cc2542f2882241e6f3344de0,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-04-30 09:30:00-04:00,MLTRADER,6c1a0cbf39534a8fac8b8a52ff00406c,SPY,sell,stop,fill,1,day,0.0,1,stock,285.19958923339846,174.0,0.0
2020-06-15 09:30:00-04:00,MLTRADER,64ff685c4f83432fb5925a8969a2b904,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTRADER,64ff685c4f83432fb5925a8969a2b904,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,159.0,0.0
2020-06-16 09:30:00-04:00,MLTRADER,c2a8427b4ac6400888eb658fc4c4aab2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTRADER,b612365d49684192aaf5e6c81339f7bf,SPY,buy,stop,fill,1,day,0.0,1,stock,314.07000732421875,159.0,0.0
2020-06-22 09:30:00-04:00,MLTRADER,4206fabac3be4853bf113460dfb6cec6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTRADER,4206fabac3be4853bf113460dfb6cec6,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,160.0,0.0
2020-06-23 09:30:00-04:00,MLTRADER,9ba8373fd06d452296eff6531b07601b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-23 09:30:00-04:00,MLTRADER,80c96da13c204d27ba02424e315d162c,SPY,buy,stop,fill,1,day,0.0,1,stock,309.8399963378906,160.0,0.0
2020-06-25 09:30:00-04:00,MLTRADER,71eb95c630dc45d28bb98d6185fab328,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTRADER,71eb95c630dc45d28bb98d6185fab328,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,165.0,0.0
2020-06-26 09:30:00-04:00,MLTRADER,30ea6c7821ee4a1984f131f1b6393759,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-26 09:30:00-04:00,MLTRADER,6c0ab17dcb8b422eb8c2c18fc9dd24eb,SPY,sell,stop,fill,1,day,0.0,1,stock,300.0368035888672,165.0,0.0
2020-08-05 09:30:00-04:00,MLTRADER,23accb23c07f4faea5cb776dfb99249a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTRADER,23accb23c07f4faea5cb776dfb99249a,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,151.0,0.0
2020-09-14 09:30:00-04:00,MLTRADER,006cee5f56734b3c92fe00a1a82df2f4,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,f5e7a697dbf04002b6e70d5e5d2e93cf,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,705873c92aec458a9be3a8db65fc8425,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,bb9fb738725c405a807a6b64126f1c71,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTRADER,705873c92aec458a9be3a8db65fc8425,SPY,sell,market,fill,1,day,0.0,1,stock,341.1199951171875,151.0,0.0
2020-09-14 09:30:00-04:00,MLTRADER,bb9fb738725c405a807a6b64126f1c71,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,73.0,0.0
2020-09-15 09:30:00-04:00,MLTRADER,b31d4c7cbac0458b9d76bfd9b2b20166,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTRADER,49933abad9424ecc920d47305ee4012f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTRADER,4edb986e210b453e8c245c53f2b1a768,SPY,buy,stop,fill,1,day,0.0,1,stock,341.510009765625,73.0,0.0
2020-09-15 09:30:00-04:00,MLTRADER,b31d4c7cbac0458b9d76bfd9b2b20166,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.510009765625,185.0,0.0
2020-09-16 09:30:00-04:00,MLTRADER,f4acd280c61d490b8d561b9a3513c97e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-09-16 09:30:00-04:00,MLTRADER,9bb2233080a64be08970924c8be057d8,SPY,buy,stop,fill,1,day,0.0,1,stock,334.6798095703125,185.0,0.0
2021-07-16 09:30:00-04:00,MLTRADER,36063cb69cc846b0a5d3bcfcfbb61f3b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTRADER,36063cb69cc846b0a5d3bcfcfbb61f3b,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,118.0,0.0
2021-07-17 09:30:00-04:00,MLTRADER,702b02f74e764e28a9db176ac95e6485,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-07-17 09:30:00-04:00,MLTRADER,4910ba5678664878806be22ce94ce5e3,SPY,buy,stop,fill,1,day,0.0,1,stock,436.010009765625,118.0,0.0
2022-01-21 09:30:00-05:00,MLTRADER,3eea317d238a43659dddd60a681ad59b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTRADER,3eea317d238a43659dddd60a681ad59b,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,115.0,0.0
2022-01-22 09:30:00-05:00,MLTRADER,d65d36bed35e4efbbe122d48490f5da4,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-01-22 09:30:00-05:00,MLTRADER,cf7204d4b0a84f08be76760f2b3d075c,SPY,buy,stop,fill,1,day,0.0,1,stock,445.55999755859375,115.0,0.0
2022-03-04 09:30:00-05:00,MLTRADER,938c77dbfdba449bbc7807911d0872d5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTRADER,938c77dbfdba449bbc7807911d0872d5,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,119.0,0.0
2022-03-05 09:30:00-05:00,MLTRADER,76f48ef563b147db9e7b15ade0dd493d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-05 09:30:00-05:00,MLTRADER,9834c53d5ba14dc48806c2bac5e6fb98,SPY,buy,stop,fill,1,day,0.0,1,stock,431.75,119.0,0.0
2022-03-18 09:30:00-04:00,MLTRADER,e0332d45bfd64731b17b15ff814b8f48,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTRADER,e0332d45bfd64731b17b15ff814b8f48,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,117.0,0.0
2022-03-19 09:30:00-04:00,MLTRADER,b7bfbba79ff54299bbf651fd488e8f98,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-19 09:30:00-04:00,MLTRADER,67a9e1205dcc413bb266607de583ea48,SPY,buy,stop,fill,1,day,0.0,1,stock,438.0,117.0,0.0
2022-03-24 09:30:00-04:00,MLTRADER,f5e75c8eebdc44d1a0a9bc950feef228,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTRADER,f5e75c8eebdc44d1a0a9bc950feef228,SPY,sell,market,fill,1,gtc,0.0,1,stock,451.1600036621094,114.0,0.0
2022-03-25 09:30:00-04:00,MLTRADER,aa6fbfa9428a432390dba43d57a71566,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-25 09:30:00-04:00,MLTRADER,3841c1b80d4040f8bc07d71d39bc7019,SPY,buy,stop,fill,1,day,0.0,1,stock,451.1600036621094,114.0,0.0
2022-04-22 09:30:00-04:00,MLTRADER,ac3818616a9f459b9384dd3022fe8566,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTRADER,ac3818616a9f459b9384dd3022fe8566,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,118.0,0.0
2022-04-23 09:30:00-04:00,MLTRADER,1b38a595615841fc80cfe820ad3a396e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-23 09:30:00-04:00,MLTRADER,564cadd5d2664aeab0dd9a3d441935c6,SPY,buy,stop,fill,1,day,0.0,1,stock,436.9100036621094,118.0,0.0
2022-04-27 09:30:00-04:00,MLTRADER,a32fe2267ed844fd8a2d99a63b9191e6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTRADER,a32fe2267ed844fd8a2d99a63b9191e6,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,122.0,0.0
2022-04-28 09:30:00-04:00,MLTRADER,f457b3ad3edb40efb72413282c4e6972,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTRADER,c5b4b06c12b9417a97c73155cfdc7b53,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTRADER,ef2faec936d649e28f2a50790c859b4b,SPY,buy,stop,fill,1,day,0.0,1,stock,423.5899963378906,122.0,0.0
2022-04-28 09:30:00-04:00,MLTRADER,f457b3ad3edb40efb72413282c4e6972,SPY,sell,market,fill,1,gtc,0.0,1,stock,423.5899963378906,182.0,0.0
2022-04-29 09:30:00-04:00,MLTRADER,219818ab6a72441d9d304d1561f66d9f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,MLTRADER,ece39f6e31604ce38e3f1f49872baee6,SPY,buy,stop,fill,1,day,0.0,1,stock,423.5899963378906,182.0,0.0
2022-06-10 09:30:00-04:00,MLTRADER,02e7fc1d01dd4e2d978335fbb6cc4076,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTRADER,02e7fc1d01dd4e2d978335fbb6cc4076,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,130.0,0.0
2022-06-11 09:30:00-04:00,MLTRADER,175dc116fb374e46a14377a766163d49,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-06-11 09:30:00-04:00,MLTRADER,8fc9ce3e8ec84d8cb8b7286f09b00ce3,SPY,buy,stop,fill,1,day,0.0,1,stock,394.8800048828125,130.0,0.0
2022-07-08 09:30:00-04:00,MLTRADER,dc54631415ad44e38af9da3a0b04b070,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTRADER,dc54631415ad44e38af9da3a0b04b070,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,132.0,0.0
2022-07-11 08:30:00-04:00,MLTRADER,d2544ee1f6c1444e8ae3c9a35bf5fc8a,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-07-11 08:30:00-04:00,MLTRADER,8319c91149444d20bef9973863769817,SPY,sell,stop,fill,1,day,0.0,1,stock,379.52458923339844,132.0,0.0
2022-07-15 09:30:00-04:00,MLTRADER,c848ef83039943fb83a52c7451d52eec,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-07-15 09:30:00-04:00,MLTRADER,c848ef83039943fb83a52c7451d52eec,SPY,sell,market,fill,1,gtc,0.0,1,stock,382.54998779296875,133.0,0.0
2022-07-16 09:30:00-04:00,MLTRADER,1518d8cce89d4498afe17c1956b5d320,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-16 09:30:00-04:00,MLTRADER,bdb7db1fa08749ffbc3a58f69aadc5c7,SPY,buy,stop,fill,1,day,0.0,1,stock,382.54998779296875,133.0,0.0
2022-09-07 09:30:00-04:00,MLTRADER,97bff2b2967a4348b5e4fdd68446802b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-07 09:30:00-04:00,MLTRADER,97bff2b2967a4348b5e4fdd68446802b,SPY,sell,market,fill,1,gtc,0.0,1,stock,395.3900146484375,128.0,0.0
2022-09-08 09:30:00-04:00,MLTRADER,ae949989fc73425998c1ee40a7249eb7,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTRADER,034669a7c7fb4e5ab021ed19d72ce073,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTRADER,e18a61d36a3d4339a286b2e909340a0a,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTRADER,c30747e026eb4c70b868fe32f09181c8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-08 09:30:00-04:00,MLTRADER,e18a61d36a3d4339a286b2e909340a0a,SPY,buy,market,fill,1,day,0.0,1,stock,402.739990234375,128.0,0.0
2022-09-08 09:30:00-04:00,MLTRADER,c30747e026eb4c70b868fe32f09181c8,SPY,buy,market,fill,1,gtc,0.0,1,stock,402.739990234375,189.0,0.0
2022-09-12 08:30:00-04:00,MLTRADER,6ff7d165dc4f417db8a6ecbd0e67bd3e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-12 08:30:00-04:00,MLTRADER,6d1095d3f5334e06b7d1ba6c2d154607,SPY,sell,stop,fill,1,day,0.0,1,stock,394.6851904296875,189.0,0.0
2022-09-12 09:30:00-04:00,MLTRADER,a42fe94552d8426593f72e95cb253e00,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-09-12 09:30:00-04:00,MLTRADER,a42fe94552d8426593f72e95cb253e00,SPY,buy,market,fill,1,gtc,0.0,1,stock,401.8299865722656,123.0,0.0
2022-09-13 09:30:00-04:00,MLTRADER,ff3756a4ccd54fcdacdaaae33ea23fd4,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-13 09:30:00-04:00,MLTRADER,cdb6106d45f54f9cb9da3af298c4737a,SPY,sell,stop,fill,1,day,0.0,1,stock,393.7933868408203,123.0,0.0
2022-09-16 09:30:00-04:00,MLTRADER,de5b1cc431d846fe89eacbcef102f71f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-16 09:30:00-04:00,MLTRADER,de5b1cc431d846fe89eacbcef102f71f,SPY,sell,market,fill,1,gtc,0.0,1,stock,384.1400146484375,128.0,0.0
2022-09-17 09:30:00-04:00,MLTRADER,ab1e880fa56b4393830da95c0256a050,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-09-17 09:30:00-04:00,MLTRADER,f6694338de824d44ac1b2cd345aaf466,SPY,buy,stop,fill,1,day,0.0,1,stock,384.1400146484375,128.0,0.0
2022-09-27 09:30:00-04:00,MLTRADER,1b781cbce53545c1bfd0f8f63bc68b3a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
